	news_title	label
68	Taron AU Ya Cimma Yarjejeniyar Cinikayya	Africa
69	Abin Da Ya Sa Ezekwesili Ta Janye Daga Takarar Shugaban Kasa	Africa
70	Sai An Hada Kai Za a Iya Tabbatar da Kawar da Polio	World
71	Indimi Ya Sake Ginawa ‘Yan Gudun Hijara Gidaje 100	World
72	Ma'aikatar Tsaron Amurka Pentagon Tace ISIS Ce ta Kai Harin Jamhiriyar Nijar	Africa
73	An Yi Watanni ba a Samu Bullar Polio a Jihar Borno Ba	Nigeria
74	Bawumia: Matasan Ghana Kada Ku Bari 'Yan Siyasa Suyi Amfani Da Ku	Nigeria
75	Ayyuka Sun Tsaya Cik A Kano Sanadiyar Yajin Aikin Ma’aikata	Nigeria
76	Kungiyar Myetti Allah Tace Bata Shiga Harkokin Siyasar Najeriya	Nigeria
77	Afghanistan: Dan Kunar Bakin Wake Ya Kashe Mutane Da Raunata Wasu	World
78	Sarkin Kano Ya Yi Kira A Kwantar Da Hankali Yayin Jiran Kammala Zabuka	Nigeria
79	FBI Ta Bankado Wata Babbar Harkar Damfara Ta 'Yan Najeriya	Africa
80	Amurka Ta Kama Wani Dan Leken Asirin China	Nigeria
81	Rikicin Jukun/Tiv: Buhari Ya Nemi a Kai Zuciya Nesa	Nigeria
82	Gwamnan Jihar Bauchi Ya Karyata Zargin Da Ake Masa	Nigeria
83	Hukumar Zaben Nigeria, INEC, Na Bukatar Naira Biliyan 189	Politics
84	Maganin Kashe Kaifin Cutar SIDA Mai Suna Truvada Ya Nuna Alamun Yin Rigakafin kamuwa Da Cutar	Health
85	Har Yanzu Jihar Kano Ba Ta Da Mataimakin Gwamna	Nigeria
86	Najeriya: Akwai Bukatar Tunawa Da Mata a Sabuwar Gwamnatin Buhari	Nigeria
87	Wasu Kasashe 8 Na Duniya Zasu Fuskaci Matsalar Shigowa Amurka	World
88	John Kerry Yayi Tur Da Matakin Da Trump Ya Dauka Kan Yarjejeniyar Nukiliyar Iran.	World
89	Kamaru Na Raba Dabbobi Don Yakar Boko Haram	Africa
90	China Da Amurka Sun Kasa Cimma Yarjejeniyar Cinikayya	World
91	Mutum 5 Sun Mutu a Sabuwar Zanga Zangar Sudan	World
92	Yan Fashi Sun Kashe 'Yan Sanda 6 A Garin Akwanga A Nasarawa	World
93	An Fayyace Ma Sabbin Ministocin Najeriya Ma'aikatunsu	World
94	Karo Na Biyu Karamin Yaro Ya Mutu A Tsare Kan Iyakar Amurka	World
95	Dan Asalin Liberia da Ya Zo Amurka Gudun Hijira Ya Zama Magajin Garin Helena a Jihar Montana, Amurka	World
96	Ana sa ran mahaukaciyar guguwar teku ta Maria zata ratsa a Martinique da kuma Dominica	World
97	Amurka Ta Kara Kudin Biza Ga 'Yan Najeriya	Nigeria
98	Masu Kudi Sun Tallafa a Yaki Da Sauyin Yanayi a Yankin Sahel	World
99	An Yi Gwanjon Motocin Kawa Na dan Shugaban Equatorial Guinea	Africa
100	‘Yan Bangar Siyasa Sun Kai Wa Wasu Kusoshin Jam’iyyar APC Hari a Yola	Politics
101	INEC Ta Dauki Alhakin Dage Zabe, Ta Musanta Cewa An Yi Mata Shisshigi	Politics
102	Sashin Majalisar Dinkin Duniya Yayi Ikirarin Cewa Kazantarciyar Iska Na Kawo Cutar Kansa	Health
103	Za A Kashe Naira Miliyan 4 Kan Ciwon Tarin Fuka A Jihar Kebbi	World
104	Cibiyar raya kasashe ta Amurka zata samar da sinadarin gina jiki ga kananan yara	World
105	Kasashen G7 Na Taron Koli a Faransa	World
106	Kungiyar Ohanaeze Ndigbo Ta Mayar Wa IPOB Martani	Nigeria
107	An samu ci gaba a yaki da tarin fuka	World
108	Ana Ci Gaba da Zaman Dar-dar Tsakanin Amurka da Turkiya	World
109	Ana fama da masifar cutar kwalara a Afrika ta Yamma	Health
110	Majalisar Dinkin Duniya Tace An Sami Ci gaba A Yaki Kan Kanjamau	World
111	An Shawarci Trump a Kan Abubuwan da Zai yi a Ziyararsa a Korea ta Kudu	World
112	Sudan Ta Kudu: Kiir Da Machar Sun Gana A Shirin Kafa Gwamnati	Africa
113	APC: Hukumar Zaben Najeriya Ta Ki Karbar Sunayen ‘Yan Takarar Zamfara	Politics
114	Najeriya : Wasu Manoman Shinkafa Sun Koka Kan Tallafin Da Gwamnati Ta Basu	World
115	INEC Ta Amince A Ci Gaba Da Yakin Neman Zabe	Politics
116	‘Yan Daba Sun Ci Karensu Babu Babbaka a Zaben Jihar Kano	Nigeria
117	Rufe Kan Iyakar Najeriya Da Benin Ya Shafi Harkokin Kasuwanci	World
118	Kwamitin Sulhu Akan Rikicin Yemen Ya Fara Zama	World
119	An Sami Karancin Fitowar Masu Zabe A Jihar Legas	Nigeria
120	Sace Mutane Ya Zama Yayi	Nigeria
121	Akwai Fargabar Babbar Rigima Na Tafe Saboda Sabon Matsayin Amurka Kan Birnin Kudus	World
122	Jihar Osun Na Shirin Amfani Da Fasahar Zamani Wajen Dakile Rikici	Nigeria
123	Rufe Iyakokin Najeriya Ya Shafi Kasuwancin 'Yan Kasar Mazauna Nijar	Africa
124	Shugaba Macron Ya Rika Auna Kalamansa Kafin Ya Furta Su-Bolsonaro	Nigeria
125	PDP Ta Koka Da Kama Wasu Jigajiganta a Kaduna	Politics
126	Amurka Ta Sakawa Venezuela Takunkumin Karya Tattalin Arziki	World
127	Jirgin Saman Ethiopia Da Yayi Hatsari Yabi Duk Ka'idojin Da Ya Kamata Ya Bi	Nigeria
128	An Yi Garkuwa Da Attajirin Matashi a Tanzania	World
129	Akalla Mutane Takwas Motar da Ta Kutsa cikin Jama'a a Birnin New York Ta Kashe	World
130	BOKO HARAM: Kamaru Zata Girke Dakaru Kan Iyakar Kasar Da Najeriya	Africa
131	Shugaba Buhari Ya Je Ta'aziyya Ma Iyalan Marigayi Shugaba Shagari	Nigeria
132	NIJAR: 'Yan Adawa Na Zargin Jam'iya Mai Mulki Da Fara Yakin Neman Zabe	Africa
133	An Sake Arangama Tsakanin Masu Zanga Zanga Da 'Yan Sanda A Hong Kong	World
134	Baban sakataren Majalisar Dinkin Duniya, ya kai ziyara kasashen Afrika wadanda suke fama da anobar Ebola,	World
135	Kungiyar AU Ta Dakatar Da Hulda Da Sudan	Africa
136	Batun Zaman Lafiya Da Tsaron Kasa Na Sa a Gaba - Seiyefa	World
137	Ana Neman Wani Gungun Birrai Ruwa a Jallo	World
138	Najeriya Ta Kori Indiyawa 36	Africa
139	An Kafa Kungiyar Hana Shan Miyagun Kwayoyi A Najeriya	Nigeria
140	Mutanen Sudan Sun Kara Kaimi Wurin Matsawa Sojojin Kasar Lamba	World
141	Ma'aikatan Gwamnatin Jihar Neja Sun Ki Komawa Bakin Aiki	World
142	Hana Shiga Da Abinci Da Magunguna Kisan Kiyashi Ne - Guaido	World
143	Yan Sandan Kasar Myanmar Sun Raunata 'Yan Rohinja Mutum 4	World
144	Kungiyar Kwadago Ta Najeriya Ta Yi Tir Da Hallaka ‘Yan Najeriya A Afurka Ta Kudu	Africa
145	Wani Malamin Firamare Ya Yiwa Dalibarsa Ciki	Nigeria
146	Hukumomin Najeriya da Nijer na Kara Azamar Hana Ebola Shiga Kasashen	World
147	Dalilin Kaddamar Da Doka Kan Yin Wa'azi a Kaduna - Shagali	World
148	Sultan Sa’ad Abubakar Na Uku Ya Kafa Kwamitin Yaki Da Polio	World
149	Matsalar Satar Jama'a a Wasu Sassan Arewacin Najeriya Na Kara Ta'azzara	World
150	Me Ake Ciki Game Da Cutar Zika Yanzu A Duniya?	Health
151	Trump Na Shirin Ganawa Da Jami'an Gwamnatinsa Kan Guguwar Irma	World
152	Babu Kasar Duniya Da Aka Ci Amanarta Kamar Najeriya-Muhammadu Buhari	Nigeria
153	Firayin Minista May Na Kokarin Shawo Kan 'Yan Majalissar Ta Akan Fita Daga EU	World
154	Yan Sa Kai Sun Dakile Harin Boko Haram A Madagali A Adamawa	Nigeria
155	An Roki Al'ummar Kano Da Su Rungumi Yaki Da Polio	Nigeria
156	Mun Amince Da Hukuncin Kotun Koli – Inji Gwamnatin Abdul’aziz Yari	Nigeria
157	Wata ba-Yazidiya Da Wani Baki Sun Ci Lambar Yabo ta Nobel	World
158	Masanan Kimiyya Sun Baiyyana Maganin Kanjamau Mai Inganci	World
159	Wasu 'Yan Jam'iyyar APC A Adamawa Da Taraba Suna Matsa Lamba Abi Tsarin Kato Bayan Kato.	Politics
160	Zan Ta Da Batun Rikicin Gabashin Ukraine Idan Na Hadu da Zelenskiy - Putin	World
161	Muzaharar Mabiya Darikar Shi'a Albarkacin Ranar Ashura a Nijar	Africa
162	Dukkan Yaran Dake Jihar Edo Zasu Yi Rigakafin Cutar Polio Nan Da Karshen Shekarar Nan	Health
163	Kungiyar Kwadago Na Shirin Tafiya Yajin Aiki Kan Albashi a Najeriya	Nigeria
164	Janhuriyar Nijar: 'Yan Bindiga Sun Kai Hari A Yankin Tilaberi	Africa
165	Yan Majalisa Sun Kara Biliyan N23.7 A Kasafin Kudi Don Aljihunsu	World
166	Jerin Sunayen Sabbin Ministoci A Najeriya Da Shugaba Buhari Ya Zaba	Nigeria
167	An Yi Barazanar Fallasa Barayin Biro a Sudan Ta Kudu	Africa
168	Taron Zaman Lafiya Tsakanin Falastinawa Da Isra'ilawa	Nigeria
169	Fiye Da Mutane Miliyan 7 Ke Shan Maganin Cutar HIV A Africa	Health
170	Zanga-Zanga Na Ci Gaba Da Karuwa a Hong Kong	World
171	Ma'aikatan Kamfanin Sadarwa Na Orange Nijar Sun Shiga Yajin Aiki	Africa
172	Har Yanzu Kananan Yara Da Dama Suna Mutuwa A Najeriya	World
173	Jihar Abiya Ita Ce Takwas a Cikin Jihohin Masu Yawan Kanjamau a Nigeriya	Nigeria
174	An Kama Wani Dan Najeriya Da Makamai A Jamhuriyar Nijar	Africa
175	Kim: Muna Tauna Tsakuwa Ne Don Shaidawa Aya Karfin Mu	Nigeria
176	Jamus Zata Hada Hannu Da Najeriya A Fannin Kiwon Lafiya	World
177	JUMMAI ALI: Health Magazine, Fabrairu 06, 2015	Nigeria
178	Matsalar Fara Ta Addabi Manona A Nijar	Africa
179	Amurka Ta Ce Zata Ci Gaba da Kare Korea Ta Kudu Daga Barazanar Korea Ta Arewa	World
180	Mamar Taraba Ta Musanta Janyewa Daga Takarar Gwamnan Taraba	Nigeria
181	Kasar Jamus Na Taimakawa Wajen Samar Da Zaman Lafiya a Jihar Filato	World
182	Nau'o'in Cutar Ebola	Health
183	Shugaba Xi Jinping Ya Yi Na’am Da Kulla Yarjejeniya	World
184	Sama Da Mutane Miliyan Daya Ke Ba Haya A Fili A Najeriya:UNICEF	World
185	Sashin Arewa - Maso Gabas Ke Da Kashi 65.2% Na Ciwon Inna	World
186	Ranar Bikin Matasa Ta Duniya	World
187	Tankar Mai Ta Kashe Mutum 57 a Tanzania	Nigeria
188	Dangantaka Ta Yi Tsami Tsakanin Najeriya Da Afirka Ta Kudu	Africa
189	Jakadan Amurka Na Nijar Ya Shirya Liyafar Bude Baki Ma Musulmin Kasar	Africa
190	Majalisa Ta Yi Watsi Da Irin Yarjajjeniyar Da May Ta Cimma Ta Barin EU	World
191	An Tuhumi Mutumin Da Ya Kashe Musulmi 51 a New Zealand	World
192	Shugaban Kasar Jamhuriyar Benin Ya Ziyarci Shugaban Nijer	Africa
193	Gwamnatin Najeriya ta Bada Kyautar Maganin Cutar Kwalara ga Jihar Nasarawa	Health
194	Za A Baiwa Matashiyar Nan Rahaf Mafaka A Australia	World
195	Hukumar Zaben INEC Ta Ce Ta Yi Tanadi Domin Nakasassu	Politics
196	Ina da ciki menene ya kamata in yi- ko kuma kada in yi- domin kula da kaina da jaririn dake ciki na? (chigabawa)	World
197	Shugabannin Amurka da Rasha zasu mara wa Majalisar Dinkin Duniya baya domin warware rikicin Syria	World
198	Ana Korar Sama Da Mutane Dubu 12 Daga Inda Suke Zaune A Kenya	World
199	Wadanne Kalubale Ke Gaban Sabon Shugaban Kungiyar ECOWAS?	Africa
200	Jami'an Tsaron Saudiyya Sun Kashe Wasu Mayaka 8	World
201	Matakin Kama Ali Tera Ya Janyo Muhawara a Nijer	Africa
202	Ma'aikacin Gidan Gwamnatin Jihar Borno Ya Hallaka Kansa.	Nigeria
203	An Bukaci Kotu Ta Dakatar Da Rantsar Da Shugaba Buhari	Nigeria
204	Ana Samin Ci Gaba a Fannin Kiwon Lafiya a Duniya	World
205	Korea Ta Arewa Ta Sake Harba Makamai Masu Linzami	Africa
206	Kamfanin Microsoft Ya Dauki Aniyar Yalwata Kasashen Afrika	Nigeria
207	Kemi Adeosun Ta Fice Daga Najeriya - Rahotanni	Nigeria
208	Kwararru Sun Gargadi Najeriya Kan Fadawa Kangin Bashi	World
209	Masarautar Anka Ta Fito Da Wani Sabon Tsari Na Tattaro Hancin Rugagen Fulani	Nigeria
210	Hare Haren Jiragen Sama Da Aka Kai A Saudiyya Sun Shafi Ayyukan Hakar Man Kasar	World
211	Mahajjata: Saudiyya Ta Wajabta Nuna Shaidar Rigakafi	Nigeria
212	Hukumar Taimaka wa Kasashe na Amurka USAID.	World
213	Yan Adawa Na Yunkurin Tsige Firai Ministan Jamhuriyyar Nijar	Africa
214	Al'ummar IGDLAN Sun Bukaci Hukumomin Nijar Su Saka Harshensu Cikin Na Kasa	Africa
215	An Gano Gawarwaki 14 Na 'Yan Afrika Masu Zuwa Turai A Tekun Tunisia	World
216	Fiye da kananan yara dubu 100 suke mutuwa da cutar sikila	Health
217	Wani Maganin Ebola Da Aka Yi Gwaji Kan Dabbobi Ya Nuna Babbar Alamar Yin Aiki	World
218	Shugaban Likitocin Zimbabwe Ya Bayyana Bayan Da Ya Yi Batan-Dabo	Africa
219	Da Alama Shugaban Amurka Donald Trump Zai Cire Kasar daga Yarjejeniyar Nukiliyar Iran	Africa
220	Ina bukatar kulawa bayan haihuwa? Kashi Na Daya (chigabawa)	World
221	Rundunar Tsaro Ta Kaddamar Da Yaki Da Miyagun Ayyuka A Plato	World
222	An Sami Maganin Hana Mata Zuban Jini Bayan Haihuwa	Nigeria
223	Taron Koli Kan Dakile Yahudar Cutar HIV A Afrika	Health
224	Kowane Dan Najeriya Nada Hurumin Zama Inda Ya Keso	Africa
225	Kisan Jamal Khashoggi Shiryayyen Abu Ne - Saudiyya	World
226	Kasashen G20 Sun Amince a Sauya Tsarin Karbar Kudaden Haraji	World
227	Hukumar Kiwon Lafiya Ta Duniya Ta Ce Shayar Da Nonon Uwa Shi Zai Ceci Rayukan Jarirai	World
228	Yadda Bishiya Ta Halaka Wata Mata a Mozambique	Africa
229	Bakin Haure Sun Ce Su Na Fuskantar Ukuba A Libiya	World
230	Likitoci a Nijar Sun Yi Gargadi Kan Zazzabin Cizon Sauro	Africa
231	Kotu Ta Hana INEC Kammala Tattara Sakamakon Zaben Jihar Bauchi	Politics
232	Somaliya Za Ta Gayyaci Kamfanonin Hako Mai	Africa
233	Guguwar Kenneth Ta Lalata Gidaje Sama Da Dubu Uku a Mozambique	World
234	Jiragen Yakin Syria Sun Auna Jerin Gwanon Motocin Sojojin Turkiya A Syria	World
235	Amurka Tace Babu Wani Farin Hula Da Aka Kashe A Harin	World
236	Hukumar Zabe Ta INEC Tana Ci Gaba Da Tattara Sakamakon Zabe	Politics
237	Yadda Masu Zabe A Karon Farko Suke Ji	World
238	Saudi Arabia Ta Tabbatar Da Mutuwar Kashoogi	World
239	Sudan Ta Kudu Ta Fara Sasanta Kasar Sudan	Africa
240	A karon Farko ‘Yan Awaren Kamaru Sunyi Amfani Da Bam	Africa
241	Matakan Maganin Ciwon Sankarau	Nigeria
242	Aminu Tambuwal Ya Sauya Sheka Zuwa PDP	Politics
243	Yawan Mutanen Da Suka Mutu a Harin Boko Haram Ya Kai 65	Nigeria
244	An Samu Rudani Kan Ficewar Shekarau Daga PDP	Politics
245	Ramadan: Kiristocin Nijar Sun Yi Wa Musulmi Fatan Alheri	Africa
246	Canada Zata Taimaka Da dala Miliyan 18 Don Yakar Polio A Najeriya	World
247	Red Cross Ta Tura Masu Ceto Da Kayan Agaji Zuwa Mozambique	World
248	Iran Ta Musanta Harbo Jirginta Mara Matuki Da Amurka Ta Yi	World
249	Majalisar Zartaswar Najeriya ta Karbi Rahoton Kwamitin Yakar Cutar Shan Inna	Health
250	Trump na Shirin Sanar da Sabon Mataki a Kan Yarjejeniya Nukiliyar Iran	World
251	Ruwan Sama Ya Rusa Gidaje Kimanin 118 A Jihar Borno	Nigeria
252	Manoman Auduga Sun Samu Tallafi a Jihar Pilato	World
253	Gwamnatin Jamhuriyar Nijar Ta Kulla Yarjejeniya Da Bankin Musulunci	Africa
254	CAN Ta Tabbatar Da Kama Mabiyanta	Nigeria
255	Yau Litinin ne ake sa ran mahaukaciyar guguwar na ta Irma zata rage karfi	World
256	Dubban 'Yan Rasha Sun Gudanar Da Zanga-Zanga A Birnin Moscow	World
257	Rasha Tace Ba A Kai Ga Musayar Ba-Amurken Nan Whelan Da Maria Ba	World
258	Buhari Ya Bukaci Sabbin Ministoci Su Maida Hankali Kan Manufofi 4	Nigeria
259	Masu dauke da kwayar cutar HIV sun nemi a daina nuna masu wariya	Health
260	Shugaban Najeriya Goodluck Jonathan zai jagoranci kwamitin kula da rmata da kananan yara na Majalisar Dinkin Duniya	Africa
261	NASARAWA: Mutane Uku Sun Rasa Rayukansu A Ambaliyar Ruwa	World
262	Hukumar INEC a Jihar Nasarawa Ta Gargadi 'Yan Siyasa Gabanin Zabe	Politics
263	Yan Ta'adda Sun Bad Da Kamanni Sun Kashe Sojojin Amurka	World
264	Birtaniya: Majalisar Dokoki Ta Yi Watsi Da Kiran Sabon Zabe	World
265	An Kama Mataimakin Gwamnan Kano, Kwamishina	Nigeria
266	Majalisar Dokokin Najeriya Ta Hana Kayyade Shekaru A Daukar Aiki	Africa
267	Shugaba Buhari Ya Bukaci Hadin Kan ‘Yan Nigeria	Nigeria
268	Jirgin Farko: Yan Najeriya 182 Sun Dawo Gida Daga Afrika Ta Kudu	Nigeria
269	Ana Nuna Yatsa Tsakanin Alkalai Da Gwamnatin Nijar	Africa
270	Amurka Ta Tabbatar Da Mutuwar Sojanta Na Hudu A Nijar Sakamkon Harin Kwanton Bauna.	Africa
271	Gwamnatin Najeriya Na Daukar Matakan Dakile Karuwan Al'umma	Nigeria
272	An Kama Wani Mutum Da Harsasai 900 A Kan Iyakar Najeriya	World
273	Mutanen Sudan Na Murnar Hambarar Da Gwamnatin Shugaba Omar Al-Bashir	Africa
274	Mutuwar Khashoggi: Wani Hoton Bidiyo Ya Bayyana	Nigeria
275	An Yi Garkuwa Da Mutane 15 A Jihar Taraba	World
276	Muhawara Kan Makomar Shugabannin Majalisun Tarayyar Nigeria	Africa
277	Bello Matawalle Na PDP Ya Zama Gwamman Jihar Zamfara	Politics
278	Najeriya Ce Kasa Ta 3 Da Ta Fi Fuskantar Ayyukan Ta'addanci a Duniya	World
279	A Najeriya Za'a Jarraba Maganin Gargajiya A Kan Ebola	World
280	Jami'an Tsaron Sudan Sun Kaiwa Masu Zanga-Zanga Hari	Nigeria
281	Yawan Wadanda Cutar Kwalara Ta Kashe A Najeriya Ya Karu	Health
282	Kwararru A Harkokin Shari'a Na Ci Gaba Da Tsokaci Akan Kalaman Shugaba Buhari	Nigeria
283	Wayar Da Kan Al'umma Kan Tazarar Haihuwa	World
284	Mutanen Da Suka Mutu a Guguwar Idai Sun Haura 300	World
285	Sudan Na Bikin Samar Da Yarjejeniyar Siyasa a Kasar	World
286	Ya Kamata Hausawa Da Fulani Su Yi Ma Kawunansu Fada Game Da Polio In Ji Shaihin Malami	World
287	Nigeriya Tana Kan Hanyar Shawo Kan Cutar Ciwon Shan Inna	Health
288	Amurka Zata Halarci Taron Kasuwani A Saudiya-Inji Sakatren Bitalmlin Amurka	World
289	Daga Karshe An Ceto Bakin Hauren Nan Da Suka Makale A Teku	World
290	Mahara Sun Kai Farmaki A Madagali	World
291	Macedonia Ta Sanya Hannu Kan Neman Shiga NATO	World
292	An Rufe Sashen 'Yan Sanda Dake Kula Da Zirga-Zirgar Ababen Hawa a Jihar Borno	World
293	Malaman Addinai A Najeriya Sun Gudanar Da Addu'o'i Na Musamman	World
294	Yaran Nigeriya Miliyan Sha Daya Suna Fama Da Rashin Abinci Mai Inganci	World
295	Sojojin Najeriya da Chadi Sun Hallaka ‘Yan Boko Haram 124	Nigeria
296	Taron MDD: Shugaban Ghana Ya Yi Tir Da Rashin Adalci A Duniya	Africa
297	Jam'iyyar APC A Jihar Nasarawa Na Kokarin Hada Kan 'Yan Jam'iyyar Biyo Bayan Zaben Fidda Gwani	Politics
298	Zanga Zanga: An Sake Curewa a Hong Kong	World
299	Likitoci Sun Fara Yajin Aiki a Nijar	Africa
300	Kungiyar Myetti Allah Ta Tabbatar Da Aukuwar Harin Kajuru	Africa
301	Polio Zata Zamo Tarihi A Jihar Sokoto - Wamako	Nigeria
302	Zaben Adamawa: Kotu Ta Dage Karar MRDD Zuwa Mako Mai Zuwa	Politics
303	An Bude Taron Kungiyar Kasashen Nahiyar Afrika A Nijar	Africa
304	Ana Zanga Zangar Wanke Dan Sanda Farar Fata Da Kotun Amurka Ta Yi	World
305	Rigakafin Polio Bai Bambanta Da Na Sauran Cututtuka Ba	Nigeria
306	Hira Da Dr. Sambo Sadiku Kan Raguwar Mutuwar Kananan Yara A Nijar Kashi Na Uku	Africa
307	Sojojin Saman Najeriya Sun Kashe 'Yan Boko Haram A Jihar Borno	Nigeria
308	Wasu Mahara Sun Kashe Mutane a Kasuwar Dabbobi a Jahar Taraba	World
309	Wata Shu'umar Wutar Daji Na Cigaba Da Barna A California,	World
310	Yan Sanda A Najeriya Sun Kama Wani Jigo A Kungiyar Boko Haram	Nigeria
