#FreeAmade	O
ọ̀daràn	O
.	O
	
Ìpolongo	O
náà	O
ti	O
tàn	O
lórí	O
Twitter	B-ORG
,	O
pẹ̀lú	O
ìṣẹ̀dá	O
àwọn	O
àsopọ̀	O
ọ̀rọ̀	O
bí	O
i	O
#FreeAmade	O
láti	O
jà	O
fún	O
ìdásílẹ̀	O
Amade	O
.	O
	
Ìjà	O
láàárín	O
ìràwọ̀	O
akọrin	O
soca	O
Trinidad	B-LOC
àti	O
Tobago	O
jẹ́	O
àmì	O
tí	O
ó	O
dára	O
fún	O
orin	O
àtijọ́	O
	
Àtẹ̀jáde	O
ìtúmọ̀	O
2	B-DATE
Èrèlé	O
2019	B-DATE
0:16	I-DATE
GMT	O
	
Ìràwọ̀	O
akọrin	O
soca	O
ìlú	O
Trinidad	B-LOC
Machel	B-PER
Montano	I-PER
ń	O
ṣeré	O
ní	O
Àjọ̀dún	O
OVO	B-ORG
ní	O
Toronto	B-LOC
ní	O
ọdún	B-DATE
2016	I-DATE
.	O
	
ÀWÒRÁN	O
:	O
The	B-ORG
Come	O
Up	B-ORG
Show	B-PER
(	O
CC	B-ORG
BY-ND	O
2.0	O
)	O
	
Gbólóhùn	O
asọ̀	O
láàárín	O
ẹni	O
méjì	O
ní	O
ọ̀nà	O
àrà	O
tí	O
ó	O
gbà	O
di	O
ìjà	O
ìgboro	O
—	O
papàá	O
nínú	O
iṣẹ́	O
orin	O
kíkọ	O
.	O
	
Ìjà	O
mo	O
jù	O
rẹ́	O
lọ	O
láàárín	O
àwọn	O
ọ̀jẹ̀	O
bíi	O
ti	O
Kanye	B-PER
West	I-PER
àti	O
Taylor	B-PER
Swift	I-PER
àti	O
ọmọ	O
Jamaica	B-LOC
Mavado	B-PER
àti	O
Vybz	B-PER
Kartel	I-PER
,	O
títí	O
kan	O
ìjà	O
ìbílẹ̀	O
ọdún	B-DATE
2004	I-DATE
ní	O
àárín-in	O
akọrin	O
soca	O
ìlú	O
Trinidad	B-LOC
méjì	O
Destra	B-LOC
àti	O
Denise	B-PER
Belfon	I-PER
,	O
ìjà	O
mo	O
jù	O
ọ́	O
lọ	O
àwọn	O
gbajúgbajà	O
sábà	O
máa	O
ń	O
já	O
sí	O
ìpolongo	O
fún	O
akọrin	O
àti	O
orin	O
wọn	O
.	O
	
Wàyí	O
,	O
ọpẹ́	O
fún	O
asọ̀	O
tí	O
ó	O
wà	O
ní	O
àárín-in	O
akọrin	O
adìde	O
Trinidad	B-LOC
àti	O
Tobago	O
méjì	O
Machel	B-PER
Montano	I-PER
àti	O
Neil	O
Iwer	O
George	B-LOC
,	O
orin	O
soca	O
wọ	O
ìròyìn	O
fún	O
ìgbà	O
àkọ́kọ́	O
ní	O
ọdún	B-DATE
2019	I-DATE
.	O
	
Ayẹyẹ	O
ijó	O
ìta-gbangba	O
ọlọ́dọọdún	O
Trinidad	B-LOC
àti	O
Tobago	O
tí	O
ọdún	B-DATE
yìí	I-DATE
wáyé	O
ní	O
ọjọ́	B-DATE
4	I-DATE
àti	I-DATE
5	I-DATE
oṣù	I-DATE
Ẹrẹ́nà	I-DATE
,	O
tí	O
ó	O
sì	O
jẹ́	O
àkókò	O
fún	O
orin	O
soca	O
.	O
	
Ọ̀jẹ̀	O
olórée	O
soca	O
bíi	O
Montano	B-LOC
àti	O
George	B-LOC
ti	O
gba	O
ìpè	O
láti	O
ṣeré	O
níbi	O
ètò	O
ijó	O
ìta-gbangba	O
kí	O
ọjọ́	B-DATE
ó	I-DATE
tó	O
kò	O
rárá	O
.	O
	
Wọn	O
yóò	O
gbé	O
orin	O
tuntun	O
jáde	O
ní	O
ìpalẹ̀mọ́	O
fún	O
ẹni	O
tí	O
yóò	O
gbégbáorókè	O
nínú	O
ìdíje	O
Ìwọ́de	O
Ojúná	O
,	O
tí	O
ó	O
ń	O
gbé	O
ẹ̀bùn	O
owó	O
sílẹ̀	O
fún	O
akọrin	O
tí	O
a	O
bá	O
kọ	O
orin	O
rẹ̀	O
jù	O
lọ	O
nínú	O
Ijó	O
ìta-gbangba	O
.	O
	
Àwòrán	O
ìràwọ̀	O
akọrin	O
soca	O
ti	O
Trinidad	B-LOC
Iwer	O
George	B-LOC
ní	O
Ìdápadà	O
Fête	O
ní	O
Toronto	B-LOC
ní	O
ọdún	B-DATE
2018	I-DATE
tí	O
a	O
mú	O
láti	O
fídíò	O
orí	O
Vimeo	O
.	O
	
Àwọn	O
olólùfẹ́ẹ	O
orin	O
Soca	O
ṣe	O
àkíyèsí	O
àròyé	O
ọ̀tẹ̀	O
láàárín-in	O
akọrin	O
méjèèjì	O
nígbà	O
tí	O
George	B-LOC
gbé	O
orin	O
àkọ́ṣe	O
ọdún	B-DATE
2019	I-DATE
jáde	O
,	O
Ìwọ́de	O
Ojúná	O
Bacchanal	O
2″	O
.	O
	
Orin	O
náà	O
kò	O
fi	O
igbákanbọ̀kan	O
nínú	O
nípa	O
ìkùnsínú	O
tí	O
ó	O
wà	O
nílẹ̀	O
látàrí	O
ìpàdánù	O
ìfigagbága	O
ọdún	B-DATE
2018	I-DATE
tí	O
Montana	B-LOC
jáwé	O
olúborí	O
.	O
	
Orin	O
rẹ̀	O
tí	O
a	O
pè	O
ní	O
Savannah	B-LOC
,	O
bá	O
ti	O
ẹnìkejì	O
figagbága	O
,	O
ṣùgbọ́n	O
Montana	B-LOC
tí	O
pàdí-àpò-pọ̀	O
pẹ̀lú	O
ògbóǹtarigi	O
akọrin	O
soca	O
Superblue	B-PER
wọ́n	O
sì	O
ṣe	O
àgbéjáde	O
Soca	O
Kingdom	B-ORG
,	O
tí	O
ó	O
gba	O
oyè	O
orin	O
Ìwọ́de	O
Ojúná	O
ọdún	B-DATE
2018	I-DATE
.	O
Iye	B-PER
ìgbà	O
336	O
ni	O
a	O
kọ	O
orin	O
Soca	O
Kingdom	B-ORG
,	O
a	O
sì	O
kọ	O
Savannah	B-LOC
fún	O
iye	O
ìgbà	O
140	O
.	O
	
Ìpàdánù	O
oyè	O
yìí	O
ni	O
ó	O
fa	O
ìbínú	O
ní	O
ìta-gbangba	O
,	O
George	B-LOC
fi	O
orin	O
fẹ̀sùn	O
kan	O
jàndùkú	O
soca	O
–	O
ìyẹn	O
àkójọpọ̀	O
òṣìṣẹ́	O
ilé	O
iṣẹ́	O
agbóhùnsáfẹ́fẹ́	O
àti	O
olùdaríI	O
wọn	O
–	O
fún	O
ìpàdíàpòpọ̀	O
tí	O
ó	O
mú	O
wọn	O
kọ	O
orin	O
Soca	O
Kingdom	B-ORG
ní	O
àsìkò	O
ìdájọ́	O
láti	O
yan	O
ẹni	O
tí	O
ó	O
jáwé	O
olúborí	O
.	O
	
Ó	O
kọrin	O
:	O
	
Lórí	O
ìtàgé	O
ni	O
eré	O
tí	O
ó	O
kàn-án	O
wà	O
,	O
àwọn	O
DJ	O
àti	O
wọn	O
ń	O
kọ	O
‘Savannah’	O
	
Ṣùgbọ́n	O
nígbà	O
tí	O
àwọn	O
jàndùkú	O
dé	O
,	O
wọ́n	O
sún	O
láti	O
‘Savannah’	O
sí	O
‘Kingdom’	O
	
Wọ́n	O
pawọ́pọ̀	O
láti	O
borí	O
ìjà	O
ńlá	O
náà…	O
lọ́dún	B-DATE
yìí	I-DATE
ẹ	O
ní	O
láti	O
pawọ́pọ̀	O
pẹ̀lú	O
Jésù	O
Kristì	O
ọmọ	O
Màríà	B-PER
	
Nínú	O
ẹ̀dà	O
orin	O
náà	O
mìíràn	O
,	O
George	B-LOC
fi	O
ẹ̀sùn	O
kan	O
Montana	B-LOC
pé	O
ó	O
ń	O
sọ	O
ọ̀rọ̀	O
àlùfànṣá	O
sí	O
òun	O
,	O
ó	O
sì	O
fi	O
ẹnu	O
tẹ́	O
oyè	O
ọ̀mọ̀wé	O
tí	O
Montano	B-LOC
ṣẹ̀ṣẹ̀	O
gbà	O
ní	O
Ifásitì	O
Trinidad	B-LOC
àti	O
Tobago	O
látàrí	O
ipa	O
tí	O
ó	O
kó	O
ní	O
ti	O
ìgbélárugẹ	O
orin	O
soca	O
.	O
	
Kò	O
pẹ́	O
tí	O
a	O
gbé	O
orin	O
George	B-LOC
jáde	O
,	O
Montano	B-LOC
fèsì	O
pẹ̀lú	O
orin	O
tí	O
a	O
pe	O
àkọlée	O
rẹ̀	O
ní	O
Dr	O
.	O
	
Mashup	O
,	O
nínúu	O
rẹ̀	O
ni	O
ó	O
ti	O
sọ	O
màdàrú	O
tí	O
wọ́n	O
ṣe	O
níbi	O
ìdíje	O
Ìwọ́de	O
Ojúná	O
:	O
	
Kò	O
tán	O
síbẹ̀	O
:	O
níbi	O
ayẹyẹ	O
Ijó	O
ìta-gbangba	O
tuntun	O
,	O
Hydrate	O
,	O
ní	O
ọjọ́	B-DATE
13	I-DATE
oṣù	I-DATE
Ṣẹrẹ	I-DATE
,	O
àwọn	O
akọrin	O
méjèèjì	O
ṣeré	O
.	O
	
George	B-LOC
lé	O
orin	O
rẹ̀	O
tuntun	O
Montano	B-LOC
náà	O
sọ	O
ọ̀rọ̀	O
ìkẹyìn	O
:	O
	
Lẹ́yìn	O
eré	O
,	O
alábòójútó	O
Montano	B-LOC
,	O
Anthony	B-LOC
Chow	O
Lin	B-PER
On	B-ORG
,	O
tari	O
àwòrán	O
kan	O
sí	O
orí	O
Instagram	O
tí	O
ó	O
fi	O
ara	O
jọ	O
ẹ̀fẹ̀	O
ìtúká	O
ẹni	O
méjì	O
tí	O
ó	O
ń	O
jà	O
:	O
	
Àtẹ̀jáde	O
náà	O
mú	O
ìfura	O
dání	O
bóyá	O
ìjà	O
tòótọ́	O
ni	O
tàbí	O
ète	O
lásán-làsàn	O
:	O
	
Ète	O
tàbí	O
bẹ́ẹ̀	O
kọ́	O
,	O
ọ̀pọ̀lọpọ̀	O
òǹlo	O
ẹ̀rọ-alátagbà	O
tó	O
ń	O
tẹ̀lé	O
awuyewuye	O
náà	O
ti	O
tọ́ka	O
sí	O
irúfẹ́	O
àríyànjiyàn	O
orin	O
báyìí	O
(	O
tí	O
a	O
mọ̀	O
sí	O
orin	O
ìjà	O
)	O
kò	O
jẹ́	O
tuntun	O
;	O
àti	O
pé	O
,	O
ó	O
bá	O
orísun	O
orin	O
calypso	O
mu	O
,	O
ó	O
sì	O
jẹ́	O
àmúlùmálà	O
,	O
soca	O
.	O
	
Nínú	O
ìfọ̀rọ̀wánilẹ́nuwò	O
kan	O
,	O
George	B-LOC
fúnra	O
rẹ̀	O
sọ	O
òtítọ́	O
ibẹ̀	O
wípé	O
òun	O
kàn	O
ń	O
ṣe	O
àkópamọ́	O
ìṣẹ̀lẹ̀	O
àtijọ́	O
gẹ́gẹ́	O
bí	O
ó	O
ṣe	O
máa	O
ń	O
ṣe	O
,	O
títọpa	O
àwọn	O
ènìyàn	O
jàǹkàn-jàǹkàn	O
tí	O
ó	O
ti	O
kọ	O
orin	O
calypso	O
sẹ́yìn	O
.	O
	
Orin	O
calypso	O
jẹ́	O
ìlúmọ̀nánká	O
tí	O
ó	O
máa	O
ń	O
sọ	O
nípa	O
àwùjọ	O
àti	O
ìṣèlú	O
,	O
ní	O
ìbẹ̀rẹ̀	O
pẹ̀pẹ̀	O
orin	O
náà	O
ni	O
ìsọ̀rọ̀	O
síra	O
ẹni	O
méjì	O
tí	O
ó	O
fi	O
ara	O
pẹ́	O
ogun	O
ọ̀rọ̀	O
tí	O
ó	O
ń	O
lọ	O
ní	O
àárín-in	O
George	B-LOC
àti	O
Montano	B-LOC
.	O
	
Abẹ́	O
àtíbàbà	O
orin	O
Calypso	B-PER
,	O
níbi	O
tí	O
àwọn	O
eléré	O
calipso	O
ti	O
máa	O
ń	O
ṣeré	O
ní	O
àsìkò	O
Ijó	O
ìta-gbangba	O
,	O
gbajúmọ̀	O
fún	O
ogun	O
àìròtẹ́lẹ̀	O
,	O
ìdíje	O
tí	O
àwọn	O
akọrin	O
yóò	O
kọrin	O
èébú	O
sí	O
ara	O
wọn	O
láì	O
rò	O
tẹ́lẹ̀	O
lójú	O
ẹsẹ̀	O
,	O
tàbí	O
lórí	O
àkọ́lé	O
kan	O
.	O
	
Ìfigagbága	O
àwọn	O
akọrin	O
wọ̀nyí	O
ni	O
a	O
mọ̀	O
sí	O
picong	O
.	O
	
Irúfẹ́	O
eré	O
wọ̀nyí	O
máa	O
ń	O
fi	O
àyè	O
gba	O
ìdásí	O
,	O
tí	O
àwọn	O
olùwòràn	O
yóò	O
máa	O
gbe	O
orin	O
,	O
ọ̀kan	O
tí	O
ó	O
wọ́pọ̀	O
jù	O
lọ	O
ni	O
Santimanitay!	O
,	O
tí	O
ó	O
jẹ́	O
ẹ̀dà	O
àbọ̀-ọ̀rọ̀	O
Faransé	O
sans	O
humanité	O
,	O
tàbí	O
àìláàánú	O
.	O
	
Àmọ́	O
àwọn	O
òǹwòrán	O
kò	O
ì	O
tíì	O
rí	O
irú	O
èyí	O
rí	O
nínú	O
orin	O
soca	O
tí	O
a	O
ti	O
ká	O
sílẹ̀	O
.	O
	
Ó	O
jẹ́	O
òtítọ́	O
tàbí	O
kò	O
jẹ́	O
òtítọ́	O
,	O
àwọn	O
olólùfẹ́ẹ	O
George/Montano	O
dá	O
sí	O
ogun	O
àìròtẹ́lẹ̀	O
wọn	O
gẹ́gẹ́	O
bí	O
olùwòràn	O
,	O
ní	O
Ijó	O
ìta-gbangba	O
àti	O
lórí	O
ayélujára	O
.	O
	
George	B-LOC
àti	O
Montano	B-LOC
yô	O
,	O
láì	O
sí	O
àní-àní	O
,	O
nínú	O
ìdíje	O
Ìwọ́de	O
Ojúná	O
ọdún	B-DATE
2019	I-DATE
àti	O
èyí	O
tí	O
ó	O
kéré	O
jù	O
lọ	O
,	O
awuyewuye	O
ìjà	O
gẹ́gẹ́	O
bí	O
ìdárayá	O
gidi	O
àti	O
orin	O
.	O
	
Àwọn	O
olólùfẹ́ẹ	O
Soca	O
kò	O
le	O
è	O
béèrè	O
ju	O
bẹ́hẹ̀	O
lọ	O
.	O
	
Òwìwí	O
kan	O
kọ̀	O
kò	O
kúrò	O
nínú	O
ilé	O
ìgbìmọ̀	O
ìjọba	O
Tanzania	B-LOC
.	O
	
Àmìi	O
kí	O
ni	O
èyí	O
?	B-PER
	
Àtẹ̀jáde	O
ìtúmọ̀	O
7	B-DATE
Èrèlé	O
2019	B-DATE
10:57	I-DATE
GMT	O
	
Gbàgede	O
Nyerere	B-LOC
Square	B-ORG
ní	O
Dodoma	B-LOC
,	O
olú-ìlú	O
orílẹ̀-èdè	O
Tanzania	B-LOC
,	O
àti	O
ilé	O
ìgbìmọ̀	O
aṣòfin	O
,	O
Bunge	B-ORG
.	O
	
Àwòrán	O
láti	O
ọwọ́ọ	O
Pernille	O
Bærendtsen	O
,	O
a	O
lò	O
ó	O
pẹ̀lú	O
àṣẹ	O
.	O
	
Ní	O
ọjọ́	B-DATE
29	I-DATE
oṣù	I-DATE
Ṣẹrẹ	I-DATE
,	O
nígbà	O
tí	O
àwọn	O
àjọ	O
ìjọba	O
Tanzania	B-LOC
(	O
Bunge	B-ORG
)	O
péjọ	O
ní	O
Dodoma	B-LOC
fún	O
ìjókòó	O
ìpàdé	O
tí	O
ó	O
ṣáájú	O
nínú	O
ọdún-un	B-DATE
2019	I-DATE
,	O
ẹyẹ	O
òwìwí	O
kan	O
fò	O
wọ	O
inú	O
ilé	O
ìpàdé	O
,	O
ó	O
sì	O
bà	O
sí	O
orí	O
ajá	O
,	O
níbi	O
tí	O
ó	O
ti	O
ń	O
wo	O
ìpéjọ	O
láti	O
òkè	O
téńté	O
.	O
	
Ìṣẹ̀lẹ̀	O
náà	O
di	O
ìròyìn	O
tí	O
ó	O
sì	O
tàn	O
kálékáko	O
,	O
tí	O
ó	O
sì	O
ń	O
mú	O
àwọn	O
ènìyàn	O
ṣe	O
onírúurú	O
ìbéèrè	O
láti	O
orí	O
ẹ̀rọ-alátagbà	O
àti	O
ìwé	O
ìròyìn	O
.	O
	
Àpẹẹrẹ	O
wo	O
ni	O
ti	O
òwìwí	O
nínú	O
ilé	O
ìgbìmọ̀	O
?	B-PER
	
Ẹyẹ	O
òwìwí	O
náà	O
ti	O
jẹ́	O
rírí	O
nínúu	O
gbọ̀ngan	O
ilé	O
ìgbìmọ̀	O
ìlú	O
Dodoma	B-LOC
ní	O
ẹ̀rìnmejì	O
.	O
	
Àpẹẹrẹ	O
wo	O
ni	O
èyí	O
túmọ̀	O
sí	O
?	B-PER
	
‘’Àmì	O
burúkú?’’	O
ìwé	O
ìròyìn	O
ẹkùn-ìlú	O
ọlọ́sẹ̀ọ̀sẹ̀	O
,	O
Ìlà-oòrùn	O
Afrika	B-ORG
,	O
dá	O
ìmọ̀ràn	O
.	O
	
Akọbúlọ́ọ̀gù	O
ọmọ	O
Gẹ̀ẹ́sì	O
àti	O
onímọ̀	O
kíkún	O
nípa	O
iṣẹ́	O
ìròyìn	O
,	O
Ben	B-PER
Taylor	I-PER
,	O
sọ	O
síwájú	O
sí	O
i	O
:	O
	
Àwòrán-ẹ̀fẹ̀	O
láti	O
ọwọ́ọ	O
Samuel	B-PER
Mwamkinga	O
(Joune)	O
,	O
a	O
lòó	O
pẹ̀lú	O
àṣẹ	O
.	O
	
Ayàwòrán-ẹ̀fẹ̀	O
ọmọ	O
bíbíi	O
Tanzania	B-LOC
,	O
Samuel	B-PER
Mwamkinga	O
(Joune)	O
,	O
lẹ́yìn	O
wá	O
,	O
ya	O
àpẹẹrẹ	O
àwòrán	O
ìṣẹ̀lẹ̀	O
náà	O
pẹ̀lú	O
ìtọ́ka	O
sí	O
ìsọlọ́rúkọ	O
ní	O
èdè	O
Gẹ̀ẹ́sì	O
‘’àkójọpọ̀	O
àwọn	O
òwìwí’’	O
látàrí	O
ìmọ̀	O
àwọn	O
Gíríìkì	O
tí	O
ó	O
ní	O
wípé	O
ọlọ́gbọ́n	O
ni	O
ẹyẹ	O
òwìwí	O
(	O
pẹ̀lú	O
àṣẹ	O
ni	O
a	O
fi	O
lo	O
àwòrán	O
àpẹẹrẹ)	O
.	O
	
Síbẹ̀	O
,	O
ojú	O
nǹkan	O
búburú	O
,	O
àmì	O
ikú	O
àti	O
òfo	O
ní	O
Tanzania	B-LOC
ni	O
àwọn	O
ènìyàn	O
fi	O
wò	O
ó	O
.	O
	
Àti	O
pé	O
—	O
òwìwí	O
náà	O
ti	O
pinnu	O
láti	O
dúró	O
sí	O
Bunge	B-ORG
,	O
gẹ́gẹ́	O
bí	O
Ọmọọ̀lú	O
Náà	O
ti	O
wí	O
:	O
	
Òwìwí	O
,	O
ẹyẹ	O
òru	B-DATE
,	O
kò	O
le	O
è	O
kúrò	O
…	O
pẹ̀lú	O
gbogbo	O
ọ̀nà	O
tí	O
àwọn	O
àjọ	O
ọba	O
gbà	O
